,description,displaySymbol,symbol,type
0,WATERS CORP,WAT-RM.ME,WAT-RM,Common Stock
1,VERISK ANALYTICS INC,VRSK-RM.ME,VRSK-RM,Common Stock
2,TEUS ETF TINKOFF EUROSTC 50,TEUS.ME,TEUS,ETP
3,PINTEREST INC- CLASS A,PINS-RM.ME,PINS-RM,Common Stock
4,DOLLAR TREE INC,DLTR-RM.ME,DLTR-RM,Common Stock
5,PTC INC,PTC-RM.ME,PTC-RM,Common Stock
6,SUNRUN INC,RUN-RM.ME,RUN-RM,Common Stock
7,MEDIAHOLDING PJSC,ODVA.ME,ODVA,Common Stock
8,AKAMAI TECHNOLOGIES INC,AKAM-RM.ME,AKAM-RM,Common Stock
9,ROPER TECHNOLOGIES INC,ROP-RM.ME,ROP-RM,Common Stock
10,GAZPROM PJSC-SPON ADR,OGZD.ME,OGZD,ADR
11,TEKHNOLOGII 100 BPIF RFI ETF,AKNX.ME,AKNX,ETP
12,OTKRYTIE VSEPOGODNY BPIF ETF,OPNW.ME,OPNW,ETP
13,YUZHURAL ASKO PJSC,ACKO.ME,ACKO,Common Stock
14,SAREPTA THERAPEUTICS INC,SRPT-RM.ME,SRPT-RM,Common Stock
15,IDGC OF URALS JSC,MRKU.ME,MRKU,Common Stock
16,BROADCOM INC,AVGO-RM.ME,AVGO-RM,Common Stock
17,TRUIST FINANCIAL CORP,TFC-RM.ME,TFC-RM,Common Stock
18,LIVENT CORP,LTHM-RM.ME,LTHM-RM,Common Stock
19,PROCTER & GAMBLE CO/THE,PG-RM.ME,PG-RM,Common Stock
20,KEURIG DR PEPPER INC,KDP-RM.ME,KDP-RM,Common Stock
21,TRANSFIN-M PAO,TRFM.ME,TRFM,Common Stock
22,FIRST INVESTMENT FUND MERIDI,MERF.ME,MERF,Common Stock
23,DAGESTAN ENERGY SUPPLY CO,DASB.ME,DASB,Common Stock
24,COSTCO WHOLESALE CORP,COST-RM.ME,COST-RM,Common Stock
25,MOLSON COORS BEVERAGE CO - B,TAP-RM.ME,TAP-RM,Common Stock
26,DEVON ENERGY CORP,DVN-RM.ME,DVN-RM,Common Stock
27,TEXAS INSTRUMENTS INC,TXN-RM.ME,TXN-RM,Common Stock
28,POOL CORP,POOL-RM.ME,POOL-RM,Common Stock
29,SUGB ETF GOVERNMENT BOND 1-3,SUGB.ME,SUGB,ETP
30,MGM RESORTS INTERNATIONAL,MGM-RM.ME,MGM-RM,Common Stock
31,BATH & BODY WORKS INC,BBWI-RM.ME,BBWI-RM,Common Stock
32,APA CORP,APA-RM.ME,APA-RM,Common Stock
33,DOLLAR GENERAL CORP,DG-RM.ME,DG-RM,Common Stock
34,NORTONLIFELOCK INC,NLOK-RM.ME,NLOK-RM,Common Stock
35,GLOBALTRUCK MANAGEMENT PJSC,GTRK.ME,GTRK,Common Stock
36,NORTHROP GRUMMAN CORP,NOC-RM.ME,NOC-RM,Common Stock
37,RAIFFEISEN MOEX 15 TOTAL RET,RCMX.ME,RCMX,ETP
38,KOSAYA GORA IRON WORKS PJSC,KMTZ.ME,KMTZ,Common Stock
39,QUIDEL CORP,QDEL-RM.ME,QDEL-RM,Common Stock
40,ROSDORBANK,RDRB.ME,RDRB,Common Stock
41,CHANGE HEALTHCARE INC,CHNG-RM.ME,CHNG-RM,Common Stock
42,DATADOG INC - CLASS A,DDOG-RM.ME,DDOG-RM,Common Stock
43,FINEX RUSSIAN CORP BONDS ETF,FXRB.ME,FXRB,ETP
44,ORGANICHESKY SINTEZ PJSC,KZOS.ME,KZOS,Common Stock
45,RUSOLOVO PJSC,ROLO.ME,ROLO,Common Stock
46,CAMPBELL SOUP CO,CPB-RM.ME,CPB-RM,Common Stock
47,ALLY FINANCIAL INC,ALLY-RM.ME,ALLY-RM,Common Stock
48,HANESBRANDS INC,HBI-RM.ME,HBI-RM,Common Stock
49,INTERCONTINENTAL EXCHANGE IN,ICE-RM.ME,ICE-RM,Common Stock
50,INCYTE CORP,INCY-RM.ME,INCY-RM,Common Stock
51,DELTA AIR LINES INC,DAL-RM.ME,DAL-RM,Common Stock
52,ALCOA CORP,AA-RM.ME,AA-RM,Common Stock
53,NORDSTROM INC,JWN-RM.ME,JWN-RM,Common Stock
54,LSR GROUP PJSC,LSRG.ME,LSRG,Common Stock
55,RN-WESTERN SIBERIA PJSC,CHGZ.ME,CHGZ,Common Stock
56,AEROFLOT PJSC,AFLT.ME,AFLT,Common Stock
57,IPG PHOTONICS CORP,IPGP-RM.ME,IPGP-RM,Common Stock
58,GENERAL DYNAMICS CORP,GD-RM.ME,GD-RM,Common Stock
59,SOUTHWEST AIRLINES CO,LUV-RM.ME,LUV-RM,Common Stock
60,PENN NATIONAL GAMING INC,PENN-RM.ME,PENN-RM,Common Stock
61,VF CORP,VFC-RM.ME,VFC-RM,Common Stock
62,LI AUTO INC - ADR,LI-RM.ME,LI-RM,ADR
63,SISTEMA PJSFC,AFKS.ME,AFKS,Common Stock
64,IDGC OF THE NORTH-WEST PJSC,MRKZ.ME,MRKZ,Common Stock
65,ZYNERBA PHARMACEUTICALS INC,ZYNE-RM.ME,ZYNE-RM,Common Stock
66,WHIRLPOOL CORP,WHR-RM.ME,WHR-RM,Common Stock
67,ZILLOW GROUP INC - C,Z-RM.ME,Z-RM,Common Stock
68,SVB FINANCIAL GROUP,SIVB-RM.ME,SIVB-RM,Common Stock
69,PUBLIC SERVICE ENTERPRISE GP,PEG-RM.ME,PEG-RM,Common Stock
70,NOV INC,NOV-RM.ME,NOV-RM,Common Stock
71,M & T BANK CORP,MTB-RM.ME,MTB-RM,Common Stock
72,QORVO INC,QRVO-RM.ME,QRVO-RM,Common Stock
73,SOUTHERN KUZBASS PJSC,UKUZ.ME,UKUZ,Common Stock
74,BAIDU INC - SPON ADR,BIDU-RM.ME,BIDU-RM,ADR
75,RAVEN PROPERTY GROUP LTD,RAVN.ME,RAVN,Common Stock
76,TATNEFT PJSC,TATN.ME,TATN,Common Stock
77,PHILIP MORRIS INTERNATIONAL,PM-RM.ME,PM-RM,Common Stock
78,VTBA ETF US EQUITY,VTBA.ME,VTBA,ETP
79,STANLEY BLACK & DECKER INC,SWK-RM.ME,SWK-RM,Common Stock
80,JM SMUCKER CO/THE,SJM-RM.ME,SJM-RM,Common Stock
81,LUKOIL PJSC,LKOH.ME,LKOH,Common Stock
82,TEMPUR SEALY INTERNATIONAL I,TPX-RM.ME,TPX-RM,Common Stock
83,MURPHY OIL CORP,MUR-RM.ME,MUR-RM,Common Stock
84,TARGET CORP,TGT-RM.ME,TGT-RM,Common Stock
85,RUSHYDRO PJSC,HYDR.ME,HYDR,Common Stock
86,NPO FIZIKA OJSC,NPOF.ME,NPOF,Common Stock
87,MOBILE TELESYSTEMS PUBLIC JO,MTSS.ME,MTSS,Common Stock
88,FRANKLIN RESOURCES INC,BEN-RM.ME,BEN-RM,Common Stock
89,IOVANCE BIOTHERAPEUTICS INC,IOVA-RM.ME,IOVA-RM,Common Stock
90,TELEFLEX INC,TFX-RM.ME,TFX-RM,Common Stock
91,MASTERCARD INC - A,MA-RM.ME,MA-RM,Common Stock
92,SBERBANK-MOEX RUS TOTAL RTRN,SBMXTRT.ME,SBMXTRT,ETP
93,TRADE DESK INC/THE -CLASS A,TTD-RM.ME,TTD-RM,Common Stock
94,YUZHURALNIKEL PJSC,UNKL.ME,UNKL,Common Stock
95,MONSTER BEVERAGE CORP,MNST-RM.ME,MNST-RM,Common Stock
96,TERADYNE INC,TER-RM.ME,TER-RM,Common Stock
97,ALFA MANAGED BONDS,AKMB.ME,AKMB,ETP
98,KINDER MORGAN INC,KMI-RM.ME,KMI-RM,Common Stock
99,KOSTROMA RETAIL CO PJSC,KTSB.ME,KTSB,Common Stock
100,WALGREENS BOOTS ALLIANCE INC,WBA-RM.ME,WBA-RM,Common Stock
101,SFI PJSC,SFIN.ME,SFIN,Common Stock
102,FIRST SOLAR INC,FSLR-RM.ME,FSLR-RM,Common Stock
103,PETROPAVLOVSK PLC,POGR.ME,POGR,Common Stock
104,SBCB ETF USD CORPORATE BONDS,SBCB.ME,SBCB,ETP
105,P G & E CORP,PCG-RM.ME,PCG-RM,Common Stock
106,AKQU ETF,AKQU.ME,AKQU,ETP
107,CROWDSTRIKE HOLDINGS INC - A,CRWD-RM.ME,CRWD-RM,Common Stock
108,TPAS TINKOFF PAN ASIA,TPAS.ME,TPAS,ETP
109,NORFOLK SOUTHERN CORP,NSC-RM.ME,NSC-RM,Common Stock
